2015-12-06 22:25:45 ['23.22', '48.66', '7.00', '0.00']
2015-12-06 22:55:45 ['22.97', '49.72', '1.00', '888.00']
2015-12-06 23:25:49 ['22.87', '48.10', '1.00', '889.00']
